Gene	Tau	Classification	Specific_parts
Glyma.01G094900	0.5471180666434445	Broad	NA
Glyma.01G095000	0.8389476886156835	Broad	NA
Glyma.01G095100	0.2188120534175722	Broad	NA
Glyma.01G095500	0.743204880152587	Broad	NA
Glyma.01G095900	0.4418092216813876	Broad	NA
Glyma.01G096000	0.4623921740810254	Broad	NA
Glyma.01G096300	0.20518447510246224	Broad	NA
Glyma.01G096600	0.5300177734117975	Broad	NA
Glyma.01G096700	0.48874004344721156	Broad	NA
Glyma.01G096800	0.7604941589006117	Broad	NA
Glyma.01G097000	0.5837328066694024	Broad	NA
Glyma.01G097100	0.48036113352395327	Broad	NA
Glyma.01G097200	0.3700136481789509	Broad	NA
Glyma.01G097500	0.21322637400614547	Broad	NA
Glyma.01G097700	0.2705654635170708	Broad	NA
Glyma.01G097900	0.6348507251131346	Broad	NA
Glyma.01G098000	0.18480581637784047	Broad	NA
Glyma.01G098400	0.5307742085939073	Broad	NA
Glyma.01G098700	0.4955370350689729	Broad	NA
Glyma.01G099100	0.25271470420303754	Broad	NA
Glyma.01G099600	0.36499009850905584	Broad	NA
Glyma.01G099700	0.2544001639550574	Broad	NA
Glyma.01G099800	0.47954351064225553	Broad	NA
Glyma.01G100100	0.30190874986742405	Broad	NA
Glyma.01G100200	0.2034112807175471	Broad	NA
Glyma.01G100600	0.10176729720774386	Broad	NA
Glyma.01G100900	0.25746555944944327	Broad	NA
Glyma.01G102300	0.544745413170462	Broad	NA
Glyma.01G102400	0.3014640392313509	Broad	NA
Glyma.01G102600	0.22312654592728368	Broad	NA
Glyma.01G102802	0.5569205403346614	Broad	NA
Glyma.01G102900	0.7594219342670409	Broad	NA
